Season Start,Player Name,PTS,PER,TOV,WS,VORP
2001,A.J. Guyton,6.0,10.3,0.7272727272727273,0.3,-0.6
2002,A.J. Guyton,5.422222222222223,11.8,0.8222222222222222,0.1,-0.4
2017,A.J. Hammons,2.1818181818181817,8.4,0.4545454545454545,0.0,-0.1
2010,A.J. Price,7.321428571428571,14.0,1.0535714285714286,1.2,0.0
2011,A.J. Price,6.46,10.7,1.06,0.3,-0.3
2012,A.J. Price,3.909090909090909,11.5,0.7272727272727273,0.7,0.0
2014,A.J. Price,1.5714285714285714,9.7,0.25,0.0,-0.1
2008,Aaron Brooks,5.176470588235294,13.1,0.8627450980392157,1.4,0.0
2009,Aaron Brooks,11.175,12.9,1.5625,3.6,0.4
2013,Aaron Brooks,7.09433962264151,11.8,1.2641509433962264,0.8,-0.2
2013,Aaron Brooks,7.956521739130435,12.1,1.3695652173913044,0.9,-0.1
2015,Aaron Brooks,11.634146341463415,14.4,1.9146341463414636,3.3,0.3
2016,Aaron Brooks,7.115942028985507,11.8,1.1884057971014492,0.9,-0.4
2017,Aaron Brooks,4.953846153846154,9.5,1.015384615384615,0.3,-0.6
2015,Aaron Gordon,5.170212765957447,11.4,0.8085106382978723,1.0,-0.2
2016,Aaron Gordon,9.217948717948715,17.0,0.8461538461538461,5.4,1.8
2017,Aaron Gordon,12.7375,14.4,1.1125,3.7,0.8
2008,Aaron Gray,4.295081967213115,13.9,0.9344262295081968,0.8,0.0
2009,Aaron Gray,3.5,11.5,0.7142857142857143,1.3,0.1
2014,Aaron Gray,1.7567567567567568,7.8,0.8378378378378378,0.1,-0.1
2014,Aaron Gray,1.818181818181818,7.9,0.8181818181818182,0.1,0.0
2016,Aaron Harrison,0.8571428571428571,4.3,0.1904761904761904,0.0,-0.1
2001,Aaron McKie,11.552631578947368,15.1,2.671052631578948,5.9,2.4
2004,Aaron McKie,9.186666666666667,13.9,1.3733333333333333,4.8,1.7
2005,Aaron McKie,2.235294117647059,8.4,0.4558823529411764,2.0,0.3
2006,Aaron McKie,0.5,6.1,0.1428571428571428,0.1,-0.1
2001,Aaron Williams,10.21951219512195,15.1,1.6097560975609757,5.2,0.9
2002,Aaron Williams,7.219512195121951,15.2,0.9634146341463414,5.0,0.8
2003,Aaron Williams,6.172839506172839,11.9,1.0493827160493827,3.7,0.4
2004,Aaron Williams,6.25,13.2,1.2361111111111112,3.4,0.4
2007,Aaron Williams,2.0,9.4,0.4736842105263157,0.7,-0.1
2008,Acie Law,4.196428571428571,7.7,1.0,-0.1,-1.0
2009,Acie Law,2.9454545454545453,10.6,0.5272727272727272,0.7,-0.4
2010,Acie Law,4.346153846153846,16.0,0.6538461538461539,0.6,-0.1
2010,Acie Law,6.2,21.3,0.4,0.3,0.0
2010,Acie Law,1.7777777777777777,7.5,0.3333333333333333,0.0,-0.1
2010,Acie Law,5.5,15.4,1.0,0.3,0.0
2009,Adam Morrison,4.019230769230769,5.7,0.6153846153846154,0.0,-0.6
2009,Adam Morrison,4.5227272727272725,5.8,0.6590909090909091,0.1,-0.6
2009,Adam Morrison,1.25,2.9,0.375,0.0,-0.1
2003,Adonal Foyle,5.365853658536586,15.3,0.8902439024390244,4.0,1.6
2015,Adreian Payne,6.65625,7.7,1.375,-0.5,-0.7
2015,Adreian Payne,1.6666666666666667,2.9,0.0,0.0,-0.1
2015,Adreian Payne,7.172413793103448,7.8,1.5172413793103448,-0.5,-0.7
2016,Adreian Payne,2.5384615384615383,5.6,0.6923076923076923,-0.5,-0.5
2001,Adrian Griffin,2.113636363636364,10.5,0.4090909090909091,0.4,-0.1
2002,Adrian Griffin,7.155172413793103,14.2,0.7241379310344828,3.5,1.5
2003,Adrian Griffin,4.391891891891892,11.5,0.6351351351351351,2.9,1.0
2005,Adrian Griffin,2.188405797101449,10.7,0.4347826086956521,1.3,0.4
2006,Adrian Griffin,4.557692307692308,11.6,0.75,2.9,1.4
2007,Adrian Griffin,2.537037037037037,10.7,0.7037037037037037,1.3,0.3
2001,Al Harrington,7.512820512820513,10.2,1.8974358974358971,1.2,-0.2
2002,Al Harrington,13.090909090909092,14.3,1.7727272727272727,2.6,0.3
2003,Al Harrington,12.21951219512195,12.4,1.9878048780487805,3.9,0.1
2004,Al Harrington,13.265822784810126,14.9,2.0632911392405062,5.9,1.5
2005,Al Harrington,17.545454545454547,14.4,3.090909090909091,1.6,0.4
2006,Al Harrington,18.56578947368421,16.0,2.5657894736842106,3.8,0.6
2007,Al Harrington,16.474358974358974,14.8,2.1666666666666665,4.3,0.7
2007,Al Harrington,15.88888888888889,13.4,2.5277777777777777,1.5,0.1
2007,Al Harrington,16.976190476190474,16.1,1.8571428571428568,2.8,0.7
2008,Al Harrington,13.604938271604938,15.6,1.1111111111111112,5.4,1.1
2009,Al Harrington,20.12328767123288,15.9,2.2054794520547945,3.9,0.6
2009,Al Harrington,12.4,8.8,1.4,-0.1,-0.1
2009,Al Harrington,20.69117647058824,16.4,2.264705882352941,4.0,0.7
2010,Al Harrington,17.72222222222222,16.8,1.8333333333333333,3.5,0.1
2011,Al Harrington,10.47945205479452,12.3,1.452054794520548,2.1,0.4
2012,Al Harrington,14.21875,15.3,1.75,3.2,0.6
2013,Al Harrington,5.1,10.3,0.7,0.0,-0.1
2014,Al Harrington,6.617647058823529,9.7,1.0,0.4,-0.3
2008,Al Horford,10.135802469135802,14.7,1.691358024691358,5.5,1.2
2009,Al Horford,11.537313432835822,17.0,1.537313432835821,6.8,2.5
2010,Al Horford,14.17283950617284,19.4,1.5061728395061729,10.9,3.8
2011,Al Horford,15.2987012987013,20.7,1.5454545454545454,10.1,4.4
2012,Al Horford,12.363636363636363,19.0,1.4545454545454546,1.3,0.4
2013,Al Horford,17.41891891891892,19.8,1.9864864864864864,8.8,3.5
2014,Al Horford,18.55172413793104,22.0,2.206896551724138,2.8,1.1
2015,Al Horford,15.210526315789474,21.4,1.3157894736842106,8.7,3.4
2016,Al Horford,15.231707317073171,19.4,1.304878048780488,9.4,4.1
2017,Al Horford,14.0,17.7,1.7058823529411764,6.3,2.8
2005,Al Jefferson,6.690140845070423,16.6,0.9295774647887324,2.7,-0.2
2007,Al Jefferson,16.043478260869566,19.8,1.9710144927536235,6.6,1.5
2008,Al Jefferson,21.04878048780488,22.7,2.0365853658536586,7.7,1.7
2009,Al Jefferson,23.12,23.1,1.84,4.9,1.2
2010,Al Jefferson,17.11842105263158,19.0,1.7894736842105263,4.6,1.0
2012,Al Jefferson,19.18032786885246,22.8,1.0163934426229508,7.5,2.6
2015,Al Jefferson,16.646153846153847,19.7,1.0461538461538462,4.7,1.1
2017,Al Jefferson,8.106060606060606,18.9,0.5,2.3,-0.3
2008,Al Thornton,12.721518987341772,12.7,1.620253164556962,1.1,-1.0
2009,Al Thornton,16.816901408450704,12.6,1.8309859154929575,1.3,-1.0
2010,Al Thornton,10.72,11.8,1.36,2.2,-0.4
2010,Al Thornton,10.745098039215684,11.6,1.2941176470588236,1.5,-0.4
2010,Al Thornton,10.666666666666666,12.1,1.5,0.7,0.0
2012,Alan Anderson,9.588235294117649,8.7,1.4705882352941178,0.3,-0.2
2013,Alan Anderson,10.66153846153846,12.6,1.2307692307692308,1.6,0.0
2014,Alan Anderson,7.230769230769231,9.5,0.7948717948717948,1.7,-0.1
2015,Alan Anderson,7.364864864864865,10.6,0.8108108108108109,2.7,0.6
2016,Alan Anderson,5.0,9.2,0.1538461538461538,0.3,0.0
2001,Alan Henderson,10.534246575342468,14.0,1.726027397260274,1.9,-0.6
2002,Alan Henderson,5.5,13.4,0.8076923076923077,0.7,-0.1
2003,Alan Henderson,4.804878048780488,12.1,0.7439024390243902,2.6,-0.4
2005,Alan Henderson,3.5,12.4,0.6282051282051282,3.1,0.5
2017,Alan Williams,7.361702127659575,19.5,0.7872340425531915,2.1,0.1
2008,Alando Tucker,3.6666666666666665,11.8,0.0,0.0,-0.1
2009,Alando Tucker,4.6,13.0,0.4666666666666667,0.2,-0.3
2012,Alec Burks,7.203389830508475,14.0,0.864406779661017,1.5,-0.1
2013,Alec Burks,7.046875,11.5,1.15625,1.0,-0.2
2014,Alec Burks,13.961538461538462,15.8,1.9102564102564104,3.2,0.5
2015,Alec Burks,13.851851851851851,13.0,1.9259259259259256,1.7,0.1
2016,Alec Burks,13.290322580645162,14.3,1.6451612903225807,1.5,-0.1
2017,Alec Burks,6.738095238095238,11.6,0.8333333333333334,0.8,-0.4
2017,Alex Abrines,5.970588235294118,10.1,0.4852941176470588,2.1,-0.1
2015,Alex Len,6.260869565217392,13.5,1.072463768115942,3.4,0.4
2016,Alex Len,9.012820512820513,12.4,1.858974358974359,1.3,-0.7
2017,Alex Len,7.961038961038961,15.0,1.324675324675325,3.0,0.1
2013,Alexey Shved,8.636363636363637,11.0,1.9090909090909087,0.8,-0.1
2014,Alexey Shved,3.968253968253968,10.2,0.7619047619047619,0.2,-0.2
2014,Alexis Ajinca,5.857142857142857,14.6,1.125,2.1,0.3
2016,Alexis Ajinca,5.966101694915254,13.8,0.9152542372881356,1.0,-0.5
2017,Alexis Ajinca,5.307692307692308,12.9,0.7948717948717948,1.0,-0.3
2011,Al-Farouq Aminu,5.641975308641976,9.6,1.271604938271605,0.7,-0.4
2012,Al-Farouq Aminu,6.045454545454546,10.6,1.378787878787879,1.4,0.2
2013,Al-Farouq Aminu,7.302631578947368,13.7,1.5263157894736843,3.1,1.3
2014,Al-Farouq Aminu,7.15,13.2,1.1,3.1,0.9
2015,Al-Farouq Aminu,5.567567567567568,14.4,0.7432432432432432,3.3,1.5
2016,Al-Farouq Aminu,10.231707317073171,12.7,1.4634146341463414,4.0,1.3
2017,Al-Farouq Aminu,8.721311475409836,11.3,1.540983606557377,1.9,0.4
2001,Allan Houston,18.705128205128204,16.1,2.0641025641025643,7.5,1.6
2002,Allan Houston,20.350649350649352,15.2,2.207792207792208,4.7,1.0
2003,Allan Houston,22.5,17.7,2.1707317073170733,7.2,1.7
2004,Allan Houston,18.48,14.8,2.04,3.1,0.3
2005,Allan Houston,11.85,12.5,1.05,0.7,-0.2
2014,Allen Crabbe,2.2,7.7,0.2,0.1,-0.1
2015,Allen Crabbe,3.294117647058824,8.7,0.2941176470588235,1.3,0.3
2016,Allen Crabbe,10.271604938271604,12.2,0.7901234567901234,4.3,0.7
2017,Allen Crabbe,10.69620253164557,11.6,0.7848101265822784,4.1,0.5
2001,Allen Iverson*,31.08450704225352,24.0,3.3380281690140845,11.8,5.1
2004,Allen Iverson*,26.375,19.3,4.354166666666667,2.8,2.3
2005,Allen Iverson*,30.69333333333333,23.2,4.586666666666667,9.0,5.0
2007,Allen Iverson*,26.29230769230769,19.6,4.123076923076923,6.2,1.9
2007,Allen Iverson*,31.2,23.5,4.4,1.6,0.6
2007,Allen Iverson*,24.82,18.4,4.04,4.6,1.3
2008,Allen Iverson*,26.390243902439025,20.9,2.9878048780487805,11.6,3.1
2009,Allen Iverson*,17.45614035087719,15.8,2.56140350877193,2.9,0.7
2009,Allen Iverson*,18.666666666666668,15.2,3.333333333333333,0.2,0.0
2009,Allen Iverson*,17.38888888888889,15.9,2.5185185185185186,2.7,0.7
2010,Alonzo Gee,7.363636363636363,16.2,0.9090909090909092,0.4,0.0
2011,Alonzo Gee,5.910714285714286,10.8,0.9821428571428572,1.0,-0.1
2011,Alonzo Gee,2.909090909090909,9.9,0.7272727272727273,0.1,0.0
2011,Alonzo Gee,7.425,11.1,1.1,1.0,0.0
2012,Alonzo Gee,10.555555555555555,13.2,1.809523809523809,2.4,0.7
2013,Alonzo Gee,10.268292682926829,10.5,1.6097560975609757,1.9,0.3
2014,Alonzo Gee,3.969230769230769,8.6,0.676923076923077,0.9,-0.2
2015,Alonzo Gee,4.462962962962963,13.0,0.6111111111111112,1.2,0.2
2015,Alonzo Gee,4.871794871794871,14.0,0.6410256410256411,1.1,0.2
2015,Alonzo Gee,3.4,9.7,0.5333333333333333,0.1,0.0
2016,Alonzo Gee,4.452054794520548,8.4,0.7534246575342466,1.9,0.5
2001,Alonzo Mourning*,13.615384615384617,24.6,2.1538461538461537,0.9,0.2
2002,Alonzo Mourning*,15.706666666666669,18.9,2.4266666666666667,7.4,1.9
2006,Alonzo Mourning*,7.8307692307692305,19.4,1.2153846153846153,4.8,0.9
2001,Alvin Williams,9.78048780487805,15.2,1.2560975609756098,5.4,1.6
2002,Alvin Williams,11.841463414634148,13.8,1.829268292682927,5.2,1.7
2003,Alvin Williams,13.166666666666666,16.7,1.641025641025641,5.5,1.4
2004,Alvin Williams,8.821428571428571,11.4,1.3928571428571428,2.1,-0.2
2006,Alvin Williams,1.0,-4.7,0.0,-0.1,-0.1
2007,Alvin Williams,1.0,6.6,1.5,-0.1,0.0
2004,Amal McCaskill,1.915254237288136,7.3,0.423728813559322,0.6,-0.3
2006,Amir Johnson,6.666666666666667,20.3,1.3333333333333333,0.2,0.0
2007,Amir Johnson,5.875,20.6,1.125,0.5,0.1
2010,Amir Johnson,6.2317073170731705,16.7,0.7682926829268293,4.5,1.5
2011,Amir Johnson,9.555555555555555,17.6,0.9583333333333334,5.6,2.2
2012,Amir Johnson,7.0625,14.4,1.46875,4.0,1.6
2013,Amir Johnson,10.037037037037036,17.3,1.4444444444444444,7.3,3.2
2014,Amir Johnson,10.376623376623376,15.4,1.5974025974025974,6.3,2.6
2015,Amir Johnson,9.253333333333334,15.4,1.4666666666666666,5.1,1.9
2016,Amir Johnson,7.30379746835443,16.0,1.1898734177215189,5.9,2.3
2017,Amir Johnson,6.5,15.0,0.9625,5.0,1.7
2005,Anderson Varejao,4.925925925925926,17.0,0.4814814814814814,3.0,0.7
2006,Anderson Varejao,4.5625,14.8,0.5625,2.3,0.3
2007,Anderson Varejao,6.753086419753086,14.4,0.8271604938271605,6.6,1.8
2008,Anderson Varejao,6.6875,12.0,1.2291666666666667,2.4,0.1
2009,Anderson Varejao,8.567901234567902,14.6,0.9876543209876544,8.0,2.1
2010,Anderson Varejao,8.56578947368421,15.8,0.881578947368421,8.1,2.7
2011,Anderson Varejao,9.096774193548388,15.2,1.2903225806451613,2.2,0.7
2012,Anderson Varejao,10.84,18.9,1.8,2.1,0.8
2013,Anderson Varejao,14.12,21.7,1.76,3.3,1.5
2014,Anderson Varejao,8.4,17.0,1.1076923076923078,5.4,2.1
2015,Anderson Varejao,9.807692307692308,17.7,1.3461538461538465,1.9,0.5
2016,Anderson Varejao,2.60377358490566,11.1,0.4150943396226415,1.0,0.0
2016,Anderson Varejao,2.5806451612903225,11.2,0.5161290322580645,0.6,0.0
